id,key,value,type
13275784,highway,motorway_junction,Regular
13275784,ref,59,Regular
13365831,highway,motorway_junction,Regular
13365831,ref,48,Regular
17602665,highway,turning_circle,Regular
41190613,highway,turning_circle,Regular
41190619,highway,turning_circle,Regular
41190746,highway,traffic_signals,Regular
41190777,highway,turning_circle,Regular
41190787,highway,turning_circle,Regular
41190793,highway,turning_circle,Regular
41190806,highway,turning_circle,Regular
41190810,highway,turning_circle,Regular
41190815,highway,turning_circle,Regular
41190820,highway,turning_circle,Regular
41190824,highway,traffic_signals,Regular
41190831,highway,traffic_signals,Regular
41190841,highway,traffic_signals,Regular
41190865,highway,turning_circle,Regular
41191129,highway,turning_circle,Regular
41197621,highway,traffic_signals,Regular
41198735,highway,turning_circle,Regular
41203110,highway,traffic_signals,Regular
41216716,highway,traffic_signals,Regular
41216719,highway,traffic_signals,Regular
41216719,note,Way split for bus routes,Regular
41222556,highway,traffic_signals,Regular
41229275,highway,traffic_signals,Regular
41229681,highway,motorway_junction,Regular
41229681,ref,148,Regular
41231025,highway,motorway_junction,Regular
41231025,ref,1B,Regular
41231042,highway,motorway_junction,Regular
41231042,ref,1C,Regular
41233074,highway,turning_circle,Regular
41233081,highway,turning_circle,Regular
41234067,highway,traffic_signals,Regular
41241818,highway,motorway_junction,Regular
41241818,note,one sign says 3,note
41241818,ref,3A,Regular
41246505,highway,motorway_junction,Regular
41246505,ref,194,Regular
41253384,note,Way split for bus routes,Regular
41253385,crossing,unmarked,Regular
41253385,highway,crossing,Regular
41253388,barrier,gate,Regular
41254652,noexit,yes,Regular
41254668,noexit,yes,Regular
41254768,highway,motorway_junction,Regular
41254768,ref,1A,Regular
41259724,highway,motorway_junction,Regular
41259724,ref,173,Regular
41259725,highway,traffic_signals,Regular
41260610,highway,turning_circle,Regular
41260611,highway,turning_circle,Regular
41267100,highway,turning_circle,Regular
41267591,highway,traffic_signals,Regular
41267598,highway,motorway_junction,Regular
41267598,ref,157,Regular
41281007,highway,turning_circle,Regular
41281552,highway,motorway_junction,Regular
41281552,ref,182,Regular
41284282,highway,turning_circle,Regular
41285045,highway,turning_circle,Regular
41290942,highway,turning_circle,Regular
41290956,highway,turning_circle,Regular
41291539,highway,traffic_signals,Regular
41298988,highway,turning_circle,Regular
41299689,highway,traffic_signals,Regular
41299692,highway,motorway_junction,Regular
41299692,ref,180,Regular
41305352,highway,traffic_signals,Regular
41305352,source,Bing,Regular
41305354,highway,motorway_junction,Regular
41305354,ref,11,Regular
41305361,highway,traffic_signals,Regular
41305361,source,Bing,Regular
41319297,highway,traffic_signals,Regular
41324362,highway,turning_circle,Regular
41324368,highway,turning_circle,Regular
41324375,highway,turning_circle,Regular
41329910,highway,traffic_signals,Regular
41329915,highway,motorway_junction,Regular
41329915,ref,174,Regular
41333570,power,tower,Regular
41336663,highway,crossing,Regular
41337413,highway,traffic_signals,Regular
41339694,highway,turning_circle,Regular
41344058,highway,turning_circle,Regular
41344133,highway,traffic_signals,Regular
41344147,highway,turning_circle,Regular
41344155,highway,turning_circle,Regular
41350639,highway,traffic_signals,Regular
41350650,highway,motorway_junction,Regular
41350650,noref,yes,Regular
41350692,highway,motorway_junction,Regular
41350692,ref,154,Regular
41357881,highway,turning_circle,Regular
41357887,highway,turning_circle,Regular
41359336,highway,traffic_signals,Regular
41359339,highway,motorway_junction,Regular
41359339,ref,157,Regular
41360357,highway,motorway_junction,Regular
41360357,ref,177,Regular
41362736,highway,turning_circle,Regular
41365227,power,tower,Regular
41365230,power,tower,Regular
41365238,power,tower,Regular
41365243,power,tower,Regular
41366329,highway,turning_circle,Regular
41368739,highway,turning_circle,Regular
41368750,traffic_calming,bump,Regular
41370230,highway,traffic_signals,Regular
41370230,source,Bing,Regular
41370240,highway,motorway_junction,Regular
41370240,ref,179,Regular
41371964,highway,motorway_junction,Regular
41376748,highway,turning_circle,Regular
41376758,highway,turning_circle,Regular
41377547,highway,turning_circle,Regular
41379692,highway,turning_circle,Regular
41382578,highway,turning_circle,Regular
41382587,highway,turning_circle,Regular
41384497,highway,turning_circle,Regular
41384498,highway,turning_circle,Regular
41385281,highway,turning_circle,Regular
41385283,highway,turning_circle,Regular
41385907,traffic_calming,bump,Regular
41385932,highway,turning_circle,Regular
41386832,highway,traffic_signals,Regular
41387784,highway,motorway_junction,Regular
41387784,ref,4,Regular
41387814,crossing,uncontrolled,Regular
41387814,highway,crossing,Regular
41388149,highway,motorway_junction,Regular
41388149,ref,178,Regular
41388151,highway,traffic_signals,Regular
41392785,highway,traffic_signals,Regular
41392872,highway,motorway_junction,Regular
41392872,ref,10,Regular
41396082,highway,turning_circle,Regular
41396089,highway,turning_circle,Regular
41397704,crossing,traffic_signals,Regular
41397704,highway,crossing,Regular
41405533,highway,traffic_signals,Regular
41408095,highway,traffic_signals,Regular
41408188,highway,motorway_junction,Regular
41408188,ref,5,Regular
41410362,highway,turning_circle,Regular
41419557,highway,turning_circle,Regular
41419563,highway,turning_circle,Regular
41419568,highway,turning_circle,Regular
41420288,highway,turning_circle,Regular
41420934,highway,turning_circle,Regular
41421121,note,Way split for bus routes.,Regular
41423743,highway,traffic_signals,Regular
41428454,highway,turning_circle,Regular
41428456,highway,turning_circle,Regular
41428469,highway,turning_circle,Regular
41428471,highway,turning_circle,Regular
41428477,highway,turning_circle,Regular
41428479,highway,turning_circle,Regular
41436970,highway,turning_circle,Regular
41437984,highway,turning_circle,Regular
41440516,highway,traffic_signals,Regular
41441770,highway,traffic_signals,Regular
41443942,highway,turning_circle,Regular
41443948,highway,turning_circle,Regular
41445990,highway,traffic_signals,Regular
41447756,highway,turning_circle,Regular
41447762,highway,turning_circle,Regular
41448046,highway,turning_circle,Regular
41448970,highway,turning_circle,Regular
41455168,highway,turning_circle,Regular
