id,user,uid,version,changeset,timestamp
2901206,marianp_telenav,5351387,20,52382705,2017-09-26T11:52:00Z
5560498,Dr Kludge,292665,5,15960603,2013-05-03T13:32:57Z
5560502,TheDutchMan13,1330847,6,49089784,2017-05-30T02:36:29Z
5560503,TheDutchMan13,1330847,7,49089784,2017-05-30T02:36:29Z
5560504,TheDutchMan13,1330847,5,49089784,2017-05-30T02:36:29Z
5560506,TheDutchMan13,1330847,6,49088626,2017-05-30T00:54:37Z
5560507,TheDutchMan13,1330847,6,49088626,2017-05-30T00:54:37Z
5560510,TheDutchMan13,1330847,6,49092404,2017-05-30T05:39:37Z
5560512,TheDutchMan13,1330847,16,49092404,2017-05-30T05:39:37Z
5560513,balrog-kun,20587,3,4309152,2010-04-02T23:40:50Z
5560514,TheDutchMan13,1330847,4,49092404,2017-05-30T05:39:37Z
5560515,balrog-kun,20587,3,4309152,2010-04-02T23:40:51Z
5560516,balrog-kun,20587,3,4309152,2010-04-02T23:40:51Z
5560517,balrog-kun,20587,3,4309152,2010-04-02T23:40:51Z
5560518,balrog-kun,20587,3,4309152,2010-04-02T23:40:51Z
5560522,TheDutchMan13,1330847,13,49089784,2017-05-30T02:36:29Z
5560524,TheDutchMan13,1330847,5,49092404,2017-05-30T05:39:37Z
5560552,Dr Kludge,292665,5,15960603,2013-05-03T13:33:44Z
5560580,TheDutchMan13,1330847,3,49092404,2017-05-30T05:39:38Z
5560751,DaveHansenTiger,7168,1,324442,2007-09-04T19:54:56Z
5560995,bogdanp_telenav,4433679,3,52068684,2017-09-15T13:03:39Z
5560996,Dr Kludge,292665,3,18138926,2013-10-02T08:14:04Z
5560997,us-az-mesa-UGBL,195001,2,3155418,2009-11-18T22:21:26Z
5560999,Adam Martin,1539368,3,37930453,2016-03-19T00:21:53Z
5561022,inah_telenav,5188736,3,51844833,2017-09-08T13:06:07Z
5561180,dannykath,2226712,9,37746618,2016-03-10T21:33:30Z
5561182,Dr Kludge,292665,9,24175959,2014-07-16T07:53:20Z
5561308,dannykath,2226712,19,41418427,2016-08-12T20:38:16Z
5561436,Your Village Maps,227972,9,25735513,2014-09-28T23:04:16Z
5561477,Dami_Tn,2012449,13,26558781,2014-11-04T21:35:13Z
5561500,DaveHansenTiger,7168,1,324442,2007-09-04T20:08:38Z
5561502,TheDutchMan13,1330847,2,31195346,2015-05-16T08:15:58Z
5561648,TheDutchMan13,1330847,2,31195285,2015-05-16T08:12:25Z
5561655,TheDutchMan13,1330847,4,31169519,2015-05-15T11:42:01Z
5561675,kookiemonster,709614,9,12361238,2012-07-20T05:01:03Z
5561952,marianp_telenav,5351387,18,52382705,2017-09-26T11:52:00Z
5562004,Dr Kludge,292665,9,15960571,2013-05-03T13:29:05Z
5562149,matthieun,595221,4,20960405,2014-03-06T22:54:21Z
